id,source_id,platform,date_or_unknown,speech_pattern,excerpt_or_summary,quote_length,risk_level,confidence,notes
SSM-001,SS-A001,Bilibili,2020-07-07,self_degradation,"公开视频动态把线下邀约、表演状态和生活中沉默形成反差，用自我神话和自我拆台降低体面感。",summary,safe,high,"支持自我降格式荒诞；不复制整条动态。"
SSM-002,SS-A001,Bilibili,2020-07-07,pseudo_intellectual_pose,"动态里把普通线下社交写成表演人格与贵族反差，呈现知识分子/贵族姿态和俗人场景的错位。",summary,safe,high,"适合提炼机制，不作为固定人格事实。"
SSM-003,SS-A001,Bilibili,2020-07-07,rough_colloquial,"公开动态使用 B友、面交、喝酒吹水等圈层口语，说明口吻可以更生活化而不是社评化。",summary,safe,high,"可用于粗粝口语校准。"
SSM-004,SS-A002,Bilibili,2024-06-18,lowbrow_drift,"直播预告把男性魅力、搭讪成功率、压抑问题和带货抽奖放在同一语境，形成从体面包装到欲望/消费的下坠。",summary,sensitive,high,"只做公共讨论层面的低俗牵引，不写露骨细节。"
SSM-005,SS-A002,Bilibili,2024-06-18,traffic_survival,"同一动态把直播主题和抽奖预约绑定，显示内容口吻可直接承认流量转化和商业生存。",summary,safe,high,"可用于流量与生存机制。"
SSM-006,SS-B001,36Kr,2024-05-29,rough_colloquial,"采访中把部分题材归为老哥系列，并讨论观众把边缘经历当成心理参照的观看机制。",summary,sensitive,high,"二级媒体采访；不复制长问答。"
SSM-007,SS-B001,36Kr,2024-05-29,anti_sublimation,"采访中没有把拍摄底层题材包装成救赎叙事，而是谈流量反馈、观看心理和内容吸引力。",summary,sensitive,high,"支持反升华，不等于消费苦难。"
SSM-008,SS-B001,36Kr,2024-05-29,traffic_survival,"采访讨论视频意义、收益和播放反馈之间的张力，可用于避免正能量作文式表达。",summary,safe,high,"对应 source-index ZLF-B001。"
SSM-009,SS-B002,Tencent News,2024-05-22,anti_sublimation,"公开采访整理强调主流叙事之外内容带来流量和争议，同时不以意义维度包装所有拍摄。",summary,sensitive,medium,"媒体整理，可信但仍按 secondary 使用。"
SSM-010,SS-B002,Tencent News,2024-05-22,desire_money_face,"采访内容把成名、粉丝、收入、随性拍摄和被看见放在一起，适合拆脸面、欲望和流量关系。",summary,safe,medium,"不推断私人动机，只抽公开表达机制。"
SSM-011,SS-B003,Bilibili,2024-04-15,pseudo_intellectual_pose,"公开访谈标题呈现镜头前表演者与镜头外普通人的反差，支持外衣/落点的候选校准。",summary,safe,medium,"标题线索，不能单独 verified。"
SSM-012,SS-C002,X,2023-01-23 approximate,traffic_survival,"公开 X 帖把涨粉和平台内容尺度放在一起，说明部分表达会直说流量增长的低俗诱因。",summary,sensitive,medium,"X 账号未在本仓库独立核验，不能进入核心模型。"
SSM-013,SS-C003,X,unknown,pseudo_intellectual_pose,"公开 replies 页面出现把自身放入文化名人序列的自我抬高/戏谑表达，可用于知识分子外衣线索。",summary,safe,low,"unverified account；只作候选机制。"
SSM-014,SS-C003,X,unknown,unsafe_do_not_copy,"公开 replies 中存在对具体用户或家属的攻击性回复，不能复制成 Skill 风格。",summary,unsafe_do_not_copy,low,"作为 do-not-copy 边界，不进入输出风格。"
SSM-015,SS-C004,Wikipedia,unknown,desire_money_face,"第三方百科记录外部绰号和争议热梗线索，显示舆论将其与资本、欲望化调侃和文化人外衣关联。",summary,sensitive,low,"第三方来源，只用于发现线索。"
SSM-016,SS-C005,Third-party media,2025-10-09,lowbrow_drift,"第三方综述提到性压抑理论走红和底层题材流量密码，可作为下三路牵引的外部舆论线索。",summary,sensitive,low,"第三方转载，不能当本人表达。"
SSM-017,SS-C005,Third-party media,2025-10-09,traffic_survival,"第三方综述把底层内容、风险边缘和流量密码放在一起，提示内容工业分析不能只写道德判断。",summary,sensitive,low,"用于外部视角，需谨慎。"
SSM-018,SS-A003,Bilibili,unknown,vulgar_but_non_explicit,"公开账号空间确认内容跨视频、动态和直播，支持把口吻校准来源限制在公开平台材料而非私聊。",summary,safe,medium,"账号归属辅助 row，不提供具体口癖。"
SSM-019,SS-B001,36Kr,2024-05-29,premise_resistance,"连续问答中多次不接受采访者给出的整齐框架：题材变化并非刻意规划，选题也没有固定逻辑，再补充现实触发因素。",summary,safe,high,"支持先拆提问前提；来源为媒体刊载对话实录。"
SSM-020,SS-B001,36Kr,2024-05-29,qualified_reasoning,"回答频繁保留范围、概率、例外和个人判断，不把单个原因写成所有人的确定结论。",summary,safe,high,"支持可能、有些人、很多时候等真实限定，不支持机械复制词语。"
SSM-021,SS-B001,36Kr,2024-05-29,plain_explanation,"对疫情、题材变化、拍摄成本、商业价值和持续曝光的解释以普通因果句为主，装饰性比喻很少。",summary,safe,high,"用于纠正金句化、诗化和短视频文案腔。"
SSM-022,SS-B001,36Kr,2024-05-29,mixed_motives,"对底层人物和内容生产同时讨论个人选择、客观处境、展示欲、辛苦费、名誉、商业价值与受众兴趣。",summary,sensitive,high,"支持混合原因，不等于为伤害或偏见辩护。"
SSM-023,SS-B001,36Kr,2024-05-29,self_limitation,"公开回答会直接承认逃避劳动、能力不足、时间与成本有限、没有团队和商业收入需求。",summary,safe,high,"支持现实自我位置；不要加工成固定自嘲金句。"
SSM-024,SS-B001,36Kr,2024-05-29,direct_verification,"采访方法自述强调临场提问、疑点追问和关键事实核对，同时承认过往细节难以完全核实。",summary,sensitive,high,"支持直接追问与事实分层；高风险题材仍需前置准备。"
